Tumorname	Name	MBIIscore
BLCA	BLCA-A54R-01A	0.287711081
BLCA	BLCA-A5RH-01A	0.435250034
BLCA	BLCA-A5RI-01A	0.134569136
BLCA	BLCA-A5RJ-01A	0.477026036
BLCA	BLCA-A6FZ-01A	0.309981625
BLCA	BLCA-A6MB-01A	0.07424237
BLCA	BLCA-A83P-01A	0.63201753
BLCA	BLCA-AAQO-01A	0.299587854
BLCA	BLCA-A41N-01A	0.156918631
BLCA	BLCA-A41O-01A	0.029281891
BLCA	BLCA-A41P-01A	0.139932112
BLCA	BLCA-A41Q-01A	0.222307008
BLCA	BLCA-A41R-01A	0.073531776
BLCA	BLCA-A41S-01A	0.160461226
BLCA	BLCA-A66R-01A	0.405937221
BLCA	BLCA-A5Z6-01A	0.13483744
BLCA	BLCA-A8JT-01A	0.122939041
BLCA	BLCA-A51V-01A	0.048624085
BLCA	BLCA-A6FI-01A	0.192748001
BLCA	BLCA-A6FN-01A	0.421947938
BLCA	BLCA-A69X-01A	0.443664502
BLCA	BLCA-A6DX-01A	0.343646694
BLCA	BLCA-AA26-01A	0.035530214
BLCA	BLCA-A9G0-01A	0.334658782
BLCA	BLCA-A9G5-01A	0.33448442
BLCA	BLCA-A78K-01A	0.462142322
BLCA	BLCA-A78L-01A	0.254551814
BLCA	BLCA-A78M-01A	0.153361405
BLCA	BLCA-A78N-01A	0.095850756
BLCA	BLCA-A78O-01A	0.101578749
BLCA	BLCA-A78P-01A	0.548264094
BLCA	BLCA-A8OB-01A	0.151630366
BLCA	BLCA-A8OC-01A	0.124689062
BLCA	BLCA-A8OD-01A	0.173710496
BLCA	BLCA-A9PA-01A	0.31846411
BLCA	BLCA-A9PB-01A	0.434742791
BLCA	BLCA-A9PD-01A	0.153276404
BLCA	BLCA-A9PE-01A	0.251462084
BLCA	BLCA-A9PF-01A	0.335869994
BLCA	BLCA-A9PH-01A	0.372430285
BLCA	BLCA-A8HB-01A	0.038417099
BLCA	BLCA-A8HC-01A	0.024193513
BLCA	BLCA-A8HD-01A	0.348836991
BLCA	BLCA-A8HE-01A	0.565267663
BLCA	BLCA-A8HF-01A	0.123445364
BLCA	BLCA-A8HG-01A	0.080851988
BLCA	BLCA-A8HH-01A	0.285088756
BLCA	BLCA-A8HI-01A	0.081598394
BLCA	BLCA-A9SG-01A	0.387665254
BLCA	BLCA-A9SH-01A	0.141436124
BLCA	BLCA-A9SI-01A	0.622157199
BLCA	BLCA-A9SJ-01A	0.351201865
BLCA	BLCA-A9SK-01A	0.209311352
BLCA	BLCA-A9SL-01A	0.515983885
BLCA	BLCA-A9SM-01A	0.565602753
BLCA	BLCA-A9SP-01A	0.271176239
BLCA	BLCA-A9ST-01A	0.056623976
BLCA	BLCA-A9SU-01A	0.366920171
BLCA	BLCA-A9SV-01A	0.079260868
BLCA	BLCA-A9SW-01A	0.292999536
BLCA	BLCA-A9SX-01A	0.342606352
BLCA	BLCA-A9SY-01A	0.649029615
BLCA	BLCA-A9SZ-01A	0.339615419
BLCA	BLCA-A9T0-01A	0.133999082
BLCA	BLCA-A9T2-01A	0.077595798
BLCA	BLCA-A9T3-01A	0.30402001
BLCA	BLCA-A9T4-01A	0.16107511
BLCA	BLCA-A9T5-01A	0.354245296
BLCA	BLCA-A9T6-01A	0.109675216
BLCA	BLCA-A9T8-01A	0.461716362
BLCA	BLCA-AAME-01A	0.566563907
BLCA	BLCA-AAMF-01A	0.110603769
BLCA	BLCA-AAMG-01A	0.099526881
BLCA	BLCA-AAMH-01A	0.058822451
BLCA	BLCA-AAMJ-01A	0.279592701
BLCA	BLCA-AAML-01A	0.147519879
BLCA	BLCA-AAMQ-01A	0.136936821
BLCA	BLCA-AAMR-01A	0.216475333
BLCA	BLCA-AAMT-01A	0.320850659
BLCA	BLCA-AAMW-01A	0.216028863
BLCA	BLCA-AAMX-01A	0.069764023
BLCA	BLCA-AAMY-01A	0.171263742
BLCA	BLCA-AAMZ-01A	0.318801947
BLCA	BLCA-AAN0-01A	0.20159213
BLCA	BLCA-AAN1-01A	0.055356724
BLCA	BLCA-AAN2-01A	0.262942404
BLCA	BLCA-AAN3-01A	0.255792006
BLCA	BLCA-AAN4-01A	0.457172357
BLCA	BLCA-AAN5-01A	0.394229732
BLCA	BLCA-AAN7-01A	0.059155584
BLCA	BLCA-AAN8-01A	0.750547423
BLCA	BLCA-A89H-01A	0.271343983
BLCA	BLCA-A8S6-01A	0.447786084
BLCA	BLCA-A9TC-01A	0.178941
BLCA	BLCA-AA3L-01A	0.041441168
BLCA	BLCA-AA3M-01A	0.087879411
BLCA	BLCA-A9R0-01A	0.244198904
